document_id,file_hash,file_path,meeting_date,agenda_item,document_type,title,source_url,date_added,processed,status,notes
2026-01-13_attachments_d_01_01_tate_high_video_update,7503a936590325a277a4713950cb784e895ffb935ebe6d6f2cee92a08f5ff409,data/raw/board_packets/2026-01-13_Board_of_Directors/attachments/D_01_01_Tate High Video Update.mp4,2026-01-13,,,D 01 01 Tate High Video Update,,2026-06-07,false,new,
2026-01-13_attachments_e_01_01_newspaper_notice,97be3224cdde6622d8ecc23b06ecd0c3b0045c545c762065ffdb03efe27ddd46,data/raw/board_packets/2026-01-13_Board_of_Directors/attachments/E_01_01_Newspaper Notice.pdf,2026-01-13,,generic_pdf,E 01 01 Newspaper Notice,,2026-06-07,false,new,
2026-01-13_attachments_e_01_02_second_resolution_electric_equipment_easement,b3bfcdb1498b1debae4b9a0bb431e50f33bc908e11ba51660e0e8fa38d9943d1,data/raw/board_packets/2026-01-13_Board_of_Directors/attachments/E_01_02_Second Resolution - Electric Equipment Easement.docx,2026-01-13,,,E 01 02 Second Resolution   Electric Equipment Easement,,2026-06-07,false,new,
2026-01-13_attachments_e_01_03_first_resolution_electric_equipment_easement,19f796898108a61a2870bb0a5966bbd9098da2d42131634cc67c0355552016b1,data/raw/board_packets/2026-01-13_Board_of_Directors/attachments/E_01_03_First Resolution --Electric Equipment Easement.docx,2026-01-13,,,E 01 03 First Resolution   Electric Equipment Easement,,2026-06-07,false,new,
2026-01-13_attachments_e_01_04_proof_of_publication,df9eca76ba2119a8a245c4df2f45b7d6cec7e369314f7b9b13406b6ea0b92cd2,data/raw/board_packets/2026-01-13_Board_of_Directors/attachments/E_01_04_Proof of Publication.pdf,2026-01-13,,generic_pdf,E 01 04 Proof of Publication,,2026-06-07,false,new,
2026-01-13_attachments_f_05_01_january_13_2026_board_agenda,f1b68bfe03e27023c3cb8dc4a40825f67587ca4bd4859c1850a4e47bc79e5c7e,"data/raw/board_packets/2026-01-13_Board_of_Directors/attachments/F_05_01_January 13, 2026 Board Agenda.pdf",2026-01-13,,board_packet,"F 05 01 January 13, 2026 Board Agenda",,2026-06-07,false,new,
2026-01-13_attachments_f_06_01_1_13_2026_board_meeting_oe_25_26,10f2c7397b2d6a3c465c3cdd6c7e8161370b4f7ff449e8a432af29785a3d556b,data/raw/board_packets/2026-01-13_Board_of_Directors/attachments/F_06_01_1-13-2026 Board Meeting OE (25-26).pdf,2026-01-13,,generic_pdf,F 06 01 1 13 2026 Board Meeting OE (25 26),,2026-06-07,false,new,
2026-01-13_attachments_f_11_01_first_resolution_public_utility_easement,ea84fc6e5688b9c44fb6426666bb878408d54f2a46d9c50969b19230228bea7e,data/raw/board_packets/2026-01-13_Board_of_Directors/attachments/F_11_01_First Resolution --Public Utility Easement.pdf,2026-01-13,,generic_pdf,F 11 01 First Resolution   Public Utility Easement,,2026-06-07,false,new,
2026-01-13_attachments_f_12_01_west_bank_corporate_resolution,c6b548f6157e07c36b81a7ec1bff1947beee01ac658f5a84396ef33931b2e41a,data/raw/board_packets/2026-01-13_Board_of_Directors/attachments/F_12_01_West Bank Corporate Resolution.pdf,2026-01-13,,generic_pdf,F 12 01 West Bank Corporate Resolution,,2026-06-07,false,new,
2026-01-13_attachments_f_13_01_marzano_resources_purchase_agreement,2fbc5705935f4971b93606e5b7c6b10a085faca7b92eba4f01b34f48094fd005,data/raw/board_packets/2026-01-13_Board_of_Directors/attachments/F_13_01_Marzano Resources Purchase Agreement.pdf,2026-01-13,,generic_pdf,F 13 01 Marzano Resources Purchase Agreement,,2026-06-07,false,new,
2026-01-13_attachments_f_14_01_uay_2025_2026_mou,86530cf79af0ee3412abf53ad84332c23e7a67b77787ef7be4987a281cd6fe54,data/raw/board_packets/2026-01-13_Board_of_Directors/attachments/F_14_01_UAY 2025-2026 MOU.pdf,2026-01-13,,generic_pdf,F 14 01 UAY 2025 2026 MOU,,2026-06-07,false,new,
2026-01-13_attachments_f_15_01_iccsd_26_27_openscied_letters_of_understanding_docx,779718d865fa289eca3926422c30d65cffe9421e51254b9887263ab2c3aeb388,data/raw/board_packets/2026-01-13_Board_of_Directors/attachments/F_15_01_ICCSD 26-27 OpenSciEd Letters of Understanding.docx.pdf,2026-01-13,,generic_pdf,F 15 01 ICCSD 26 27 OpenSciEd Letters of Understanding.docx,,2026-06-07,false,new,
2026-01-13_attachments_f_15_02_iccsd_openscied_upated_2025_26_docx,30ed92710158aee993c73ba3b3e9153fde6861d8cd190a7b998ca2fc137f5ccc,data/raw/board_packets/2026-01-13_Board_of_Directors/attachments/F_15_02_ICCSD OpenSciEd Upated 2025-26 .docx.pdf,2026-01-13,,generic_pdf,F 15 02 ICCSD OpenSciEd Upated 2025 26 .docx,,2026-06-07,false,new,
2026-01-13_attachments_f_16_01_co_2_nc_parking,aa2c98b444b6a6e65040f8b6d7935eac5d91609f491bf69572b33bb8ab215704,data/raw/board_packets/2026-01-13_Board_of_Directors/attachments/F_16_01_CO#2 - NC Parking.pdf,2026-01-13,,generic_pdf,F 16 01 CO#2   NC Parking,,2026-06-07,false,new,
2026-01-13_attachments_f_16_02_1270_377final_acceptance_nc,a59179276a6172c73873a6f70e6ca8d4e330a90277551ea2d8496cf4aeb0c99b,data/raw/board_packets/2026-01-13_Board_of_Directors/attachments/F_16_02_1270-377Final Acceptance_NC.pdf,2026-01-13,,generic_pdf,F 16 02 1270 377Final Acceptance NC,,2026-06-07,false,new,
2026-01-13_attachments_f_17_01_iowa_city_schools_gm4010_quote_12_18_25,47f6d0abb19eecf6294cc4ac9675f7c900c7d49d92c9b87fcb1a3b85064875cd,"data/raw/board_packets/2026-01-13_Board_of_Directors/attachments/F_17_01_Iowa City Schools GM4010 Quote, 12.18.25.pdf",2026-01-13,,generic_pdf,"F 17 01 Iowa City Schools GM4010 Quote, 12.18.25",,2026-06-07,false,new,
2026-01-13_attachments_f_18_01_capital_projects_status_report,bff3bda263a68195767e1019b7b9f37153dd9b8d1b5c5620a9582801b8f5ce52,data/raw/board_packets/2026-01-13_Board_of_Directors/attachments/F_18_01_Capital Projects Status Report.pdf,2026-01-13,,capital_project_update,F 18 01 Capital Projects Status Report,,2026-06-07,false,new,
2026-01-13_attachments_f_18_02_west_hs_trojan_track_field_replacement,ff80ab26f57bc005c77056fb559767c7d01215b6722a497ccf8038e291a9a085,data/raw/board_packets/2026-01-13_Board_of_Directors/attachments/F_18_02_West HS Trojan Track & Field Replacement.pdf,2026-01-13,,generic_pdf,F 18 02 West HS Trojan Track & Field Replacement,,2026-06-07,false,new,
2026-01-13_attachments_f_18_03_combined_appendix_9_approval_requests_and_project_updates,ffbf906389ea4c838a38a580526caa2a8d99e2919ce910a4569249ba0849322d,data/raw/board_packets/2026-01-13_Board_of_Directors/attachments/F_18_03_Combined Appendix 9 Approval Requests and Project Updates.pdf,2026-01-13,,generic_pdf,F 18 03 Combined Appendix 9 Approval Requests and Project Updates,,2026-06-07,false,new,
2026-01-13_attachments_f_18_04_roof_management_2026_wickham_es_and_southeast_ms_roof_improvements,e1c2a5fea172c6a1bca493001437af76025cdc8dc9c5c1ccd5c978c6ef20cdeb,data/raw/board_packets/2026-01-13_Board_of_Directors/attachments/F_18_04_Roof Management 2026 Wickham ES and Southeast MS Roof Improvements.pdf,2026-01-13,,generic_pdf,F 18 04 Roof Management 2026 Wickham ES and Southeast MS Roof Improvements,,2026-06-07,false,new,
