document_id,file_path,document_type,reason,date_entered,editor,notes
,data/raw/board_packets/2026-01-13_Board_of_Directors/attachments/G_02_02_12-9-2025BoardReport10003.pdf,accounts_payable_report,financial-relevance triage of board deck,2026-06-07,triage,feeds accounts_payable.csv (disbursement timing)
,data/raw/board_packets/2026-01-13_Board_of_Directors/attachments/G_02_03_12-16-2025BoardReport10003.pdf,accounts_payable_report,financial-relevance triage of board deck,2026-06-07,triage,feeds accounts_payable.csv (disbursement timing)
,data/raw/board_packets/2026-01-13_Board_of_Directors/attachments/G_02_04_1-6-2026 BoardReport10003.pdf,accounts_payable_report,financial-relevance triage of board deck,2026-06-07,triage,feeds accounts_payable.csv (disbursement timing)
,data/raw/board_packets/2026-01-27_Board_of_Directors/attachments/F_02_02_1-13-26BoardReport10003.pdf,accounts_payable_report,financial-relevance triage of board deck,2026-06-07,triage,feeds accounts_payable.csv (disbursement timing)
,data/raw/board_packets/2026-01-27_Board_of_Directors/attachments/F_02_03_2026-1-20BoardReport10003.pdf,accounts_payable_report,financial-relevance triage of board deck,2026-06-07,triage,feeds accounts_payable.csv (disbursement timing)
,data/raw/board_packets/2026-02-10_Board_of_Directors/attachments/F_02_02_2-3-2026_BoardReport10003.pdf,accounts_payable_report,financial-relevance triage of board deck,2026-06-07,triage,feeds accounts_payable.csv (disbursement timing)
,data/raw/board_packets/2026-02-10_Board_of_Directors/attachments/F_02_03_1-27-2026_BoardReport10003.pdf,accounts_payable_report,financial-relevance triage of board deck,2026-06-07,triage,feeds accounts_payable.csv (disbursement timing)
,data/raw/board_packets/2026-02-24_Board_of_Directors/attachments/F_06_02_2-18-26BoardReport10003.pdf,accounts_payable_report,financial-relevance triage of board deck,2026-06-07,triage,feeds accounts_payable.csv (disbursement timing)
,data/raw/board_packets/2026-02-24_Board_of_Directors/attachments/F_06_03_2-16-26BoardReport10003.pdf,accounts_payable_report,financial-relevance triage of board deck,2026-06-07,triage,feeds accounts_payable.csv (disbursement timing)
,data/raw/board_packets/2026-02-24_Board_of_Directors/attachments/F_06_04_2-10-26_BoardReport10003.pdf,accounts_payable_report,financial-relevance triage of board deck,2026-06-07,triage,feeds accounts_payable.csv (disbursement timing)
,data/raw/board_packets/2026-02-24_Board_of_Directors/attachments/F_06_05_2-5-2026_BoardReport10003.pdf,accounts_payable_report,financial-relevance triage of board deck,2026-06-07,triage,feeds accounts_payable.csv (disbursement timing)
,data/raw/board_packets/2026-02-24_Board_of_Directors/attachments/K_01_01_Proposed Budget Actions Board (2026-27).pdf,certified_budget,financial-relevance triage of board deck,2026-06-07,triage,feeds budget_authority.csv
