as_of_date,fund_code,fund_name,cash_in_bank,investments,total_cash_investments,source_file,source_page,extraction_method,confidence,notes
2025-12-31,10,General Fund (incl. 84),6631101,21885563,28516664,data/raw/board_packets/2026-02-10_Board_of_Directors/attachments/K_02_01_FY26 Quarter 2 Financial Report (1).pdf,5,pdfplumber+quarterly_financial_report,medium,grouped per source; investments = total - cash_in_bank
2025-12-31,21,Student Activity Fund,998503,0,998503,data/raw/board_packets/2026-02-10_Board_of_Directors/attachments/K_02_01_FY26 Quarter 2 Financial Report (1).pdf,5,pdfplumber+quarterly_financial_report,medium,grouped per source; investments = total - cash_in_bank
2025-12-31,33,"Capital Projects & Bonds (SAVE 33, PPEL 36)",621148,4966690,5587838,data/raw/board_packets/2026-02-10_Board_of_Directors/attachments/K_02_01_FY26 Quarter 2 Financial Report (1).pdf,5,pdfplumber+quarterly_financial_report,medium,grouped per source; investments = total - cash_in_bank
2025-12-31,61,School Nutrition Fund,1606596,2312779,3919375,data/raw/board_packets/2026-02-10_Board_of_Directors/attachments/K_02_01_FY26 Quarter 2 Financial Report (1).pdf,5,pdfplumber+quarterly_financial_report,medium,grouped per source; investments = total - cash_in_bank
2025-12-31,71,"Insurance (71, 74)",802529,7169,809698,data/raw/board_packets/2026-02-10_Board_of_Directors/attachments/K_02_01_FY26 Quarter 2 Financial Report (1).pdf,5,pdfplumber+quarterly_financial_report,medium,grouped per source; investments = total - cash_in_bank
2025-12-31,82,Children's Aid (82),66309,0,66309,data/raw/board_packets/2026-02-10_Board_of_Directors/attachments/K_02_01_FY26 Quarter 2 Financial Report (1).pdf,5,pdfplumber+quarterly_financial_report,medium,grouped per source; investments = total - cash_in_bank
2025-12-31,ALL,Total All Funds,10726186,29172202,39898388,data/raw/board_packets/2026-02-10_Board_of_Directors/attachments/K_02_01_FY26 Quarter 2 Financial Report (1).pdf,5,pdfplumber+quarterly_financial_report,medium,grouped per source; investments = total - cash_in_bank
2026-03-31,10,General Fund (incl. 84),5836780,7217015,13053795,data/raw/board_packets/2026-05-12_Board_of_Directors/attachments/K_02_01_Financials as of 3.31.26 Board Mtg 5.12.26.pdf,5,pdfplumber+quarterly_financial_report,medium,grouped per source; investments = total - cash_in_bank
2026-03-31,21,Student Activity Fund,1109210,0,1109210,data/raw/board_packets/2026-05-12_Board_of_Directors/attachments/K_02_01_Financials as of 3.31.26 Board Mtg 5.12.26.pdf,5,pdfplumber+quarterly_financial_report,medium,grouped per source; investments = total - cash_in_bank
2026-03-31,33,"Capital Projects & Bonds (SAVE 33, PPEL 36)",549652,5962815,6512467,data/raw/board_packets/2026-05-12_Board_of_Directors/attachments/K_02_01_Financials as of 3.31.26 Board Mtg 5.12.26.pdf,5,pdfplumber+quarterly_financial_report,medium,grouped per source; investments = total - cash_in_bank
2026-03-31,61,School Nutrition Fund,2446978,3568041,6015019,data/raw/board_packets/2026-05-12_Board_of_Directors/attachments/K_02_01_Financials as of 3.31.26 Board Mtg 5.12.26.pdf,5,pdfplumber+quarterly_financial_report,medium,grouped per source; investments = total - cash_in_bank
2026-03-31,71,"Insurance (71, 74)",1331899,7230,1339129,data/raw/board_packets/2026-05-12_Board_of_Directors/attachments/K_02_01_Financials as of 3.31.26 Board Mtg 5.12.26.pdf,5,pdfplumber+quarterly_financial_report,medium,grouped per source; investments = total - cash_in_bank
2026-03-31,82,Children's Aid (82),68994,0,68994,data/raw/board_packets/2026-05-12_Board_of_Directors/attachments/K_02_01_Financials as of 3.31.26 Board Mtg 5.12.26.pdf,5,pdfplumber+quarterly_financial_report,medium,grouped per source; investments = total - cash_in_bank
2026-03-31,ALL,Total All Funds,11343513,16755102,28098615,data/raw/board_packets/2026-05-12_Board_of_Directors/attachments/K_02_01_Financials as of 3.31.26 Board Mtg 5.12.26.pdf,5,pdfplumber+quarterly_financial_report,medium,grouped per source; investments = total - cash_in_bank
