run_date,severity,issue_type,fund_code,document_id,description,recommended_action,status
2026-06-06,warning,duplicate_document,,"undated_aea_aea_enrollment_and_cost_summary_fy_2019, undated_aea_aea_enrollment_and_cost_summary_fy_2023","2 files share identical content: data/raw/state_reports/dom/AEA/AEA Enrollment and Cost Summary, FY 2019.pdf, data/raw/state_reports/dom/AEA/AEA Enrollment and Cost Summary, FY 2023.pdf",Keep one canonical copy or confirm the duplicate is intentional; mark extras as status=duplicate.,open
2026-06-06,info,missing_source_url,,undated_audits_iowa_city_csd_2020,No source_url recorded for 'data/raw/district_reports/audits/Iowa City CSD-2020.pdf'.,Record the public URL in the inventory or a source_urls.md.,open
2026-06-06,info,missing_meeting_date,,undated_audits_iowa_city_csd_2020,No meeting/report date for 'data/raw/district_reports/audits/Iowa City CSD-2020.pdf'.,Place the file in a dated folder (YYYY-MM-DD) or set the date via a manual override.,open
2026-06-06,info,missing_source_url,,undated_audits_iowa_city_csd_2021,No source_url recorded for 'data/raw/district_reports/audits/Iowa City CSD-2021.pdf'.,Record the public URL in the inventory or a source_urls.md.,open
2026-06-06,info,missing_meeting_date,,undated_audits_iowa_city_csd_2021,No meeting/report date for 'data/raw/district_reports/audits/Iowa City CSD-2021.pdf'.,Place the file in a dated folder (YYYY-MM-DD) or set the date via a manual override.,open
2026-06-06,info,missing_source_url,,undated_audits_iowa_city_csd_2022,No source_url recorded for 'data/raw/district_reports/audits/Iowa City CSD-2022.pdf'.,Record the public URL in the inventory or a source_urls.md.,open
2026-06-06,info,missing_meeting_date,,undated_audits_iowa_city_csd_2022,No meeting/report date for 'data/raw/district_reports/audits/Iowa City CSD-2022.pdf'.,Place the file in a dated folder (YYYY-MM-DD) or set the date via a manual override.,open
2026-06-06,info,missing_source_url,,undated_audits_iowa_city_csd_2023,No source_url recorded for 'data/raw/district_reports/audits/Iowa City CSD-2023.pdf'.,Record the public URL in the inventory or a source_urls.md.,open
2026-06-06,info,missing_meeting_date,,undated_audits_iowa_city_csd_2023,No meeting/report date for 'data/raw/district_reports/audits/Iowa City CSD-2023.pdf'.,Place the file in a dated folder (YYYY-MM-DD) or set the date via a manual override.,open
2026-06-06,info,unknown_document_type,,undated_district_extractions_iowa_city_csd,Document 'data/raw/manual_uploads/iccsd_advocacy_extractions/district-extractions/Iowa_City_CSD.csv' is unclassified (type=generic_excel).,Classify in data/manual/document_classification_manual.csv.,open
2026-06-06,info,missing_source_url,,undated_district_extractions_iowa_city_csd,No source_url recorded for 'data/raw/manual_uploads/iccsd_advocacy_extractions/district-extractions/Iowa_City_CSD.csv'.,Record the public URL in the inventory or a source_urls.md.,open
2026-06-06,info,missing_meeting_date,,undated_district_extractions_iowa_city_csd,No meeting/report date for 'data/raw/manual_uploads/iccsd_advocacy_extractions/district-extractions/Iowa_City_CSD.csv'.,Place the file in a dated folder (YYYY-MM-DD) or set the date via a manual override.,open
2026-06-06,info,unknown_document_type,,undated_dom_aea_flowthrough,Document 'data/raw/manual_uploads/iccsd_advocacy_extractions/dom/aea-flowthrough.csv' is unclassified (type=generic_excel).,Classify in data/manual/document_classification_manual.csv.,open
2026-06-06,info,missing_source_url,,undated_dom_aea_flowthrough,No source_url recorded for 'data/raw/manual_uploads/iccsd_advocacy_extractions/dom/aea-flowthrough.csv'.,Record the public URL in the inventory or a source_urls.md.,open
2026-06-06,info,missing_meeting_date,,undated_dom_aea_flowthrough,No meeting/report date for 'data/raw/manual_uploads/iccsd_advocacy_extractions/dom/aea-flowthrough.csv'.,Place the file in a dated folder (YYYY-MM-DD) or set the date via a manual override.,open
2026-06-06,info,unknown_document_type,,undated_dom_aid_levy_summary,Document 'data/raw/manual_uploads/iccsd_advocacy_extractions/dom/aid-levy-summary.csv' is unclassified (type=generic_excel).,Classify in data/manual/document_classification_manual.csv.,open
2026-06-06,info,missing_source_url,,undated_dom_aid_levy_summary,No source_url recorded for 'data/raw/manual_uploads/iccsd_advocacy_extractions/dom/aid-levy-summary.csv'.,Record the public URL in the inventory or a source_urls.md.,open
2026-06-06,info,missing_meeting_date,,undated_dom_aid_levy_summary,No meeting/report date for 'data/raw/manual_uploads/iccsd_advocacy_extractions/dom/aid-levy-summary.csv'.,Place the file in a dated folder (YYYY-MM-DD) or set the date via a manual override.,open
2026-06-06,info,unknown_document_type,,undated_dom_assessed_valuation_latest,Document 'data/raw/manual_uploads/iccsd_advocacy_extractions/dom/assessed-valuation-latest.csv' is unclassified (type=generic_excel).,Classify in data/manual/document_classification_manual.csv.,open
2026-06-06,info,missing_source_url,,undated_dom_assessed_valuation_latest,No source_url recorded for 'data/raw/manual_uploads/iccsd_advocacy_extractions/dom/assessed-valuation-latest.csv'.,Record the public URL in the inventory or a source_urls.md.,open
2026-06-06,info,missing_meeting_date,,undated_dom_assessed_valuation_latest,No meeting/report date for 'data/raw/manual_uploads/iccsd_advocacy_extractions/dom/assessed-valuation-latest.csv'.,Place the file in a dated folder (YYYY-MM-DD) or set the date via a manual override.,open
2026-06-06,info,unknown_document_type,,undated_dom_at_risk,Document 'data/raw/manual_uploads/iccsd_advocacy_extractions/dom/at-risk.csv' is unclassified (type=generic_excel).,Classify in data/manual/document_classification_manual.csv.,open
2026-06-06,info,missing_source_url,,undated_dom_at_risk,No source_url recorded for 'data/raw/manual_uploads/iccsd_advocacy_extractions/dom/at-risk.csv'.,Record the public URL in the inventory or a source_urls.md.,open
2026-06-06,info,missing_meeting_date,,undated_dom_at_risk,No meeting/report date for 'data/raw/manual_uploads/iccsd_advocacy_extractions/dom/at-risk.csv'.,Place the file in a dated folder (YYYY-MM-DD) or set the date via a manual override.,open
2026-06-06,info,unknown_document_type,,undated_dom_cash_reserve_levy,Document 'data/raw/manual_uploads/iccsd_advocacy_extractions/dom/cash-reserve-levy.csv' is unclassified (type=generic_excel).,Classify in data/manual/document_classification_manual.csv.,open
2026-06-06,info,missing_source_url,,undated_dom_cash_reserve_levy,No source_url recorded for 'data/raw/manual_uploads/iccsd_advocacy_extractions/dom/cash-reserve-levy.csv'.,Record the public URL in the inventory or a source_urls.md.,open
2026-06-06,info,missing_meeting_date,,undated_dom_cash_reserve_levy,No meeting/report date for 'data/raw/manual_uploads/iccsd_advocacy_extractions/dom/cash-reserve-levy.csv'.,Place the file in a dated folder (YYYY-MM-DD) or set the date via a manual override.,open
2026-06-06,info,unknown_document_type,,undated_dom_certified_enrollment,Document 'data/raw/manual_uploads/iccsd_advocacy_extractions/dom/certified-enrollment.csv' is unclassified (type=generic_excel).,Classify in data/manual/document_classification_manual.csv.,open
2026-06-06,info,missing_source_url,,undated_dom_certified_enrollment,No source_url recorded for 'data/raw/manual_uploads/iccsd_advocacy_extractions/dom/certified-enrollment.csv'.,Record the public URL in the inventory or a source_urls.md.,open
2026-06-06,info,missing_meeting_date,,undated_dom_certified_enrollment,No meeting/report date for 'data/raw/manual_uploads/iccsd_advocacy_extractions/dom/certified-enrollment.csv'.,Place the file in a dated folder (YYYY-MM-DD) or set the date via a manual override.,open
2026-06-06,info,unknown_document_type,,undated_dom_levy_rates_and_valuation,Document 'data/raw/manual_uploads/iccsd_advocacy_extractions/dom/levy-rates-and-valuation.csv' is unclassified (type=generic_excel).,Classify in data/manual/document_classification_manual.csv.,open
2026-06-06,info,missing_source_url,,undated_dom_levy_rates_and_valuation,No source_url recorded for 'data/raw/manual_uploads/iccsd_advocacy_extractions/dom/levy-rates-and-valuation.csv'.,Record the public URL in the inventory or a source_urls.md.,open
2026-06-06,info,missing_meeting_date,,undated_dom_levy_rates_and_valuation,No meeting/report date for 'data/raw/manual_uploads/iccsd_advocacy_extractions/dom/levy-rates-and-valuation.csv'.,Place the file in a dated folder (YYYY-MM-DD) or set the date via a manual override.,open
2026-06-06,info,unknown_document_type,,undated_dom_unspent_authorized_budget,Document 'data/raw/manual_uploads/iccsd_advocacy_extractions/dom/unspent-authorized-budget.csv' is unclassified (type=generic_excel).,Classify in data/manual/document_classification_manual.csv.,open
