fiscal_year,scenario,gf_revenue,gf_expenditure,operating_result,assigned_unassigned,solvency_pct,solvency_status,uab_pct,uab_status
2026,conservative,215795799,227332108,-11536309,-4472922,-2.15,below_floor,-2.4,below_target
2027,conservative,220968278,225071944,-4103666,-8576589,-4.03,below_floor,,
2028,conservative,226627531,229573383,-2945851,-11522440,-5.28,below_floor,,
2029,conservative,230940853,234164851,-3223998,-14746438,-6.64,below_floor,,
2026,base,219082029,225081295,-5999266,1064121,0.5,below_floor,-1.39,below_target
2027,base,224333277,222843509,1489768,2553889,1.18,below_floor,,
2028,base,230078712,227300379,2778333,5332222,2.41,below_floor,,
2029,base,234457719,231846387,2611332,7943554,3.52,below_floor,,
2026,optimistic,220177439,218328856,1848583,8911970,4.2,below_floor,1.65,below_target
2027,optimistic,225454943,216158204,9296740,18208710,8.39,below_target,,
2028,optimistic,231229106,220481368,10747738,28956448,13.0,on_target,,
2029,optimistic,235630008,224890995,10739012,39695460,17.5,above_target,,
