month,fund_code,fund_name,line_item,type,amount,source_file,source_page,confidence,notes
2024-07,10,General Fund,Taxes Levied on Property,revenue,424654,data/raw/board_packets/2026-02-10_Board_of_Directors/attachments/K_02_01_FY26 Quarter 2 Financial Report (1).pdf,3,medium,FY2025 actual (prior-year table)
2024-08,10,General Fund,Taxes Levied on Property,revenue,0,data/raw/board_packets/2026-02-10_Board_of_Directors/attachments/K_02_01_FY26 Quarter 2 Financial Report (1).pdf,3,medium,FY2025 actual (prior-year table)
2024-09,10,General Fund,Taxes Levied on Property,revenue,4211829,data/raw/board_packets/2026-02-10_Board_of_Directors/attachments/K_02_01_FY26 Quarter 2 Financial Report (1).pdf,3,medium,FY2025 actual (prior-year table)
2024-10,10,General Fund,Taxes Levied on Property,revenue,37962993,data/raw/board_packets/2026-02-10_Board_of_Directors/attachments/K_02_01_FY26 Quarter 2 Financial Report (1).pdf,3,medium,FY2025 actual (prior-year table)
2024-11,10,General Fund,Taxes Levied on Property,revenue,1064647,data/raw/board_packets/2026-02-10_Board_of_Directors/attachments/K_02_01_FY26 Quarter 2 Financial Report (1).pdf,3,medium,FY2025 actual (prior-year table)
2024-12,10,General Fund,Taxes Levied on Property,revenue,1099361,data/raw/board_packets/2026-02-10_Board_of_Directors/attachments/K_02_01_FY26 Quarter 2 Financial Report (1).pdf,3,medium,FY2025 actual (prior-year table)
2025-01,10,General Fund,Taxes Levied on Property,revenue,1118787,data/raw/board_packets/2026-02-10_Board_of_Directors/attachments/K_02_01_FY26 Quarter 2 Financial Report (1).pdf,3,medium,FY2025 actual (prior-year table)
2025-02,10,General Fund,Taxes Levied on Property,revenue,492523,data/raw/board_packets/2026-02-10_Board_of_Directors/attachments/K_02_01_FY26 Quarter 2 Financial Report (1).pdf,3,medium,FY2025 actual (prior-year table)
2025-03,10,General Fund,Taxes Levied on Property,revenue,3034055,data/raw/board_packets/2026-02-10_Board_of_Directors/attachments/K_02_01_FY26 Quarter 2 Financial Report (1).pdf,3,medium,FY2025 actual (prior-year table)
2025-04,10,General Fund,Taxes Levied on Property,revenue,30292968,data/raw/board_packets/2026-02-10_Board_of_Directors/attachments/K_02_01_FY26 Quarter 2 Financial Report (1).pdf,3,medium,FY2025 actual (prior-year table)
2025-05,10,General Fund,Taxes Levied on Property,revenue,4072828,data/raw/board_packets/2026-02-10_Board_of_Directors/attachments/K_02_01_FY26 Quarter 2 Financial Report (1).pdf,3,medium,FY2025 actual (prior-year table)
2025-06,10,General Fund,Taxes Levied on Property,revenue,279447,data/raw/board_packets/2026-02-10_Board_of_Directors/attachments/K_02_01_FY26 Quarter 2 Financial Report (1).pdf,3,medium,FY2025 actual (prior-year table)
