district,budget_enrollment_L101,district_cost_pp_L103,state_cost_pp_L105
Ankeny CSD,12682.0,7988.0,7061.0
Burlington CSD,3560.2,7988.0,7061.0
Cedar Rapids CSD,15901.2,7988.0,7061.0
College CSD (Prairie),5026.6,7988.0,7061.0
Davenport CSD,13370.5,7988.0,7061.0
Des Moines Independent CSD,30159.7,8016.0,7061.0
Dubuque CSD,9665.7,7988.0,7061.0
Iowa City CSD,14369.6,7988.0,7061.0
Johnston CSD,6673.0,7988.0,7061.0
Linn-Mar CSD,7448.7,7988.0,7061.0
Muscatine CSD,4239.3,7988.0,7061.0
Pleasant Valley CSD,5413.2,8081.0,7061.0
Waterloo CSD,10524.2,7988.0,7061.0
Waukee CSD,14411.6,7988.0,7061.0
West Des Moines CSD,8249.4,7988.0,7061.0
