district,fiscal_year,assessed_actual_with_ge,assessed_100pct_net
Ankeny CSD,2026,11157551629.0,11018816248.0
Burlington CSD,2026,2219574881.0,1893332796.0
Cedar Rapids CSD,2026,13650587044.0,11976524884.0
College CSD (Prairie),2026,5043050629.0,4358788471.0
Davenport CSD,2026,9908013536.0,9209350367.0
Des Moines Independent CSD,2026,17736189104.0,17022024197.0
Dubuque CSD,2026,8724062917.0,8132130452.0
Iowa City CSD,2026,14617004801.0,14210394290.0
Johnston CSD,2026,5727074007.0,5560534351.0
Linn-Mar CSD,2026,5272855601.0,5176345853.0
Muscatine CSD,2026,2825088469.0,2754588505.0
Pleasant Valley CSD,2026,4600620416.0,4414812174.0
Waterloo CSD,2026,5676750955.0,5349015308.0
Waukee CSD,2026,13121736639.0,12956146771.0
West Des Moines CSD,2026,10446771803.0,10164282300.0
