district,fiscal_year,atrisk_frl_weight,atrisk_enroll_weight,atrisk_subtotal,district_cost_pp,atrisk_dollars_generated
Ankeny CSD,2020,13.302,24.433,37.735,6880.0,259617.0
Ankeny CSD,2021,13.224,25.002,38.226,7048.0,269417.0
Ankeny CSD,2022,10.559,24.781,35.339999999999996,7227.0,255402.0
Ankeny CSD,2023,14.283,25.525,39.808,7413.0,295097.0
Ankeny CSD,2024,16.096,25.85,41.946,7635.0,320258.0
Ankeny CSD,2025,14.49,25.78,40.27,7826.0,315153.0
Burlington CSD,2020,19.284,8.44,27.723999999999997,6880.0,190741.0
Burlington CSD,2021,19.283,8.335,27.618000000000002,7048.0,194652.0
Burlington CSD,2022,16.434,7.983,24.417,7227.0,176462.0
Burlington CSD,2023,15.601,7.99,23.591,7413.0,174880.0
Burlington CSD,2024,17.215,7.875,25.09,7635.0,191562.0
Burlington CSD,2025,16.352,7.745,24.097,7826.0,188583.0
Cedar Rapids CSD,2020,66.758,34.605,101.363,6880.0,697377.0
Cedar Rapids CSD,2021,65.257,34.377,99.63400000000001,7048.0,702220.0
Cedar Rapids CSD,2022,64.631,33.123,97.75399999999999,7227.0,706468.0
Cedar Rapids CSD,2023,64.172,32.816,96.988,7413.0,718972.0
Cedar Rapids CSD,2024,63.158,32.557,95.715,7635.0,730784.0
Cedar Rapids CSD,2025,64.875,32.925,97.8,7826.0,765383.0
College CSD (Prairie),2020,11.186,10.485,21.671,6880.0,149096.0
College CSD (Prairie),2021,11.443,10.596,22.039,7048.0,155331.0
College CSD (Prairie),2022,10.616,10.382,20.997999999999998,7227.0,151753.0
College CSD (Prairie),2023,12.137,10.467,22.604,7413.0,167563.0
College CSD (Prairie),2024,12.495,10.502,22.997,7635.0,175582.0
College CSD (Prairie),2025,12.176,10.353,22.529,7826.0,176312.0
Davenport CSD,2020,66.395,30.71,97.10499999999999,6880.0,668082.0
Davenport CSD,2021,55.864,30.458,86.322,7048.0,608397.0
Davenport CSD,2022,58.718,29.52,88.238,7227.0,637696.0
Davenport CSD,2023,55.804,29.402,85.206,7413.0,631632.0
Davenport CSD,2024,52.471,28.896,81.36699999999999,7635.0,621237.0
Davenport CSD,2025,51.486,28.124,79.61,7826.0,623028.0
Des Moines Independent CSD,2020,167.982,66.889,234.87099999999998,6938.0,1629535.0
Des Moines Independent CSD,2021,166.903,66.518,233.421,7096.0,1656355.0
Des Moines Independent CSD,2022,161.87,64.508,226.378,7265.0,1644636.0
Des Moines Independent CSD,2023,157.872,63.289,221.161,7446.0,1646765.0
Des Moines Independent CSD,2024,156.678,62.779,219.457,7668.0,1682796.0
Des Moines Independent CSD,2025,140.952,62.835,203.787,7859.0,1601562.0
Dubuque CSD,2020,31.136,21.277,52.413,6880.0,360601.0
Dubuque CSD,2021,29.052,21.398,50.45,7048.0,355572.0
Dubuque CSD,2022,29.416,21.032,50.448,7227.0,364588.0
Dubuque CSD,2023,28.189,20.645,48.834,7413.0,362006.0
Dubuque CSD,2024,28.564,20.531,49.095,7635.0,374840.0
Dubuque CSD,2025,27.427,20.392,47.819,7826.0,374231.0
Iowa City CSD,2020,37.418,29.141,66.559,6887.0,458392.0
Iowa City CSD,2021,36.605,29.726,66.33099999999999,7048.0,467501.0
Iowa City CSD,2022,36.566,29.139,65.705,7227.0,474850.0
Iowa City CSD,2023,38.398,29.366,67.76400000000001,7413.0,502335.0
Iowa City CSD,2024,40.178,29.457,69.63499999999999,7635.0,531663.0
Iowa City CSD,2025,41.841,29.333,71.174,7826.0,557008.0
Johnston CSD,2020,11.373,14.398,25.771,6880.0,177304.0
Johnston CSD,2021,10.512,14.496,25.008000000000003,7048.0,176256.0
Johnston CSD,2022,10.005,14.289,24.294,7227.0,175573.0
Johnston CSD,2023,11.725,14.253,25.978,7413.0,192575.0
Johnston CSD,2024,13.062,14.249,27.311,7635.0,208519.0
Johnston CSD,2025,14.194,13.95,28.144,7826.0,220255.0
Linn-Mar CSD,2020,11.837,15.416,27.253,6880.0,187501.0
Linn-Mar CSD,2021,11.174,15.658,26.832,7048.0,189112.0
Linn-Mar CSD,2022,11.603,15.5,27.103,7227.0,195873.0
Linn-Mar CSD,2023,10.816,15.462,26.278,7413.0,194799.0
Linn-Mar CSD,2024,12.143,15.678,27.821,7635.0,212413.0
Linn-Mar CSD,2025,12.879,15.436,28.314999999999998,7826.0,221593.0
Muscatine CSD,2020,17.501,9.984,27.485,6880.0,189097.0
Muscatine CSD,2021,15.59,9.816,25.406,7048.0,179061.0
Muscatine CSD,2022,14.434,9.568,24.002,7227.0,173462.0
Muscatine CSD,2023,16.15,9.393,25.543,7413.0,189350.0
Muscatine CSD,2024,16.484,9.333,25.817,7635.0,197113.0
Muscatine CSD,2025,17.168,9.023,26.191,7826.0,204971.0
Pleasant Valley CSD,2020,3.719,10.275,13.994,7003.0,98000.0
Pleasant Valley CSD,2021,3.425,10.462,13.887,7161.0,99445.0
Pleasant Valley CSD,2022,3.512,10.698,14.21,7330.0,104159.0
Pleasant Valley CSD,2023,3.462,11.064,14.526,7511.0,109105.0
Pleasant Valley CSD,2024,3.94,11.336,15.276,7733.0,118129.0
Pleasant Valley CSD,2025,4.055,11.297,15.352,7924.0,121649.0
Waterloo CSD,2020,47.324,21.984,69.30799999999999,6880.0,476839.0
Waterloo CSD,2021,51.303,22.166,73.469,7048.0,517810.0
Waterloo CSD,2022,52.04,21.678,73.718,7227.0,532760.0
Waterloo CSD,2023,51.526,21.787,73.313,7413.0,543469.0
Waterloo CSD,2024,52.304,21.771,74.075,7635.0,565563.0
Waterloo CSD,2025,53.2,21.893,75.093,7826.0,587678.0
Waukee CSD,2020,10.927,22.843,33.769999999999996,6880.0,232338.0
Waukee CSD,2021,11.812,23.871,35.683,7048.0,251494.0
Waukee CSD,2022,11.494,24.469,35.963,7227.0,259905.0
Waukee CSD,2023,12.552,25.736,38.288,7413.0,283829.0
Waukee CSD,2024,15.481,26.834,42.315,7635.0,323075.0
Waukee CSD,2025,17.331,27.895,45.226,7826.0,353939.0
West Des Moines CSD,2020,23.532,18.238,41.769999999999996,6880.0,287378.0
West Des Moines CSD,2021,23.064,18.338,41.402,7048.0,291801.0
West Des Moines CSD,2022,25.132,17.993,43.125,7227.0,311664.0
West Des Moines CSD,2023,21.858,17.9,39.757999999999996,7413.0,294726.0
West Des Moines CSD,2024,22.059,17.704,39.763000000000005,7635.0,303591.0
West Des Moines CSD,2025,18.406,17.573,35.979,7826.0,281572.0
