district,fiscal_year,cash_reserve_levy,twenty_pct_cap,final_max_cash_reserve,levying_maximum,crl_pct_of_cap
Ankeny CSD,2020,9666489.0,,,,
Ankeny CSD,2021,11545534.0,,,,
Ankeny CSD,2022,12634634.0,27183543.0,15071864.0,N,46.5
Ankeny CSD,2023,11017643.0,28739601.0,11017643.0,Y,38.3
Ankeny CSD,2024,11047397.0,29672532.0,12945280.0,N,37.2
Ankeny CSD,2025,9140666.0,31469740.0,17488477.0,N,29.0
Burlington CSD,2020,0.0,,,,
Burlington CSD,2021,0.0,,,,
Burlington CSD,2022,0.0,9873020.0,0.0,N,0.0
Burlington CSD,2023,0.0,10248707.0,0.0,N,0.0
Burlington CSD,2024,0.0,10746608.0,0.0,N,0.0
Burlington CSD,2025,0.0,11704940.0,0.0,N,0.0
Cedar Rapids CSD,2020,10806693.0,,,,
Cedar Rapids CSD,2021,14130250.0,,,,
Cedar Rapids CSD,2022,14010000.0,43799415.0,19703413.0,N,32.0
Cedar Rapids CSD,2023,14050474.0,44559277.0,14050474.0,Y,31.5
Cedar Rapids CSD,2024,10053991.0,45808130.0,10053991.0,Y,21.9
Cedar Rapids CSD,2025,8231439.0,46766402.0,9491439.0,N,17.6
College CSD (Prairie),2020,3468623.0,,,,
College CSD (Prairie),2021,2878860.0,,,,
College CSD (Prairie),2022,2127205.0,12612263.0,2127205.0,Y,16.9
College CSD (Prairie),2023,0.0,13161650.0,0.0,N,0.0
College CSD (Prairie),2024,778611.0,13926261.0,778611.0,Y,5.6
College CSD (Prairie),2025,2072567.0,14458857.0,2072567.0,Y,14.3
Davenport CSD,2020,7048420.0,,,,
Davenport CSD,2021,6021442.0,,,,
Davenport CSD,2022,6151183.0,36602765.0,16705292.0,N,16.8
Davenport CSD,2023,11523181.0,38438144.0,15536966.0,N,30.0
Davenport CSD,2024,6775876.0,39208429.0,6861847.0,N,17.3
Davenport CSD,2025,0.0,41298840.0,0.0,N,0.0
Des Moines Independent CSD,2020,29525000.0,,,,
Des Moines Independent CSD,2021,20500000.0,,,,
Des Moines Independent CSD,2022,0.0,86684415.0,0.0,N,0.0
Des Moines Independent CSD,2023,0.0,90339145.0,0.0,N,0.0
Des Moines Independent CSD,2024,0.0,93965930.0,0.0,N,0.0
Des Moines Independent CSD,2025,0.0,98907786.0,0.0,N,0.0
Dubuque CSD,2020,8050369.0,,,,
Dubuque CSD,2021,8287213.0,,,,
Dubuque CSD,2022,7085158.0,26538909.0,10014582.0,N,26.7
Dubuque CSD,2023,4613729.0,27678752.0,4613729.0,Y,16.7
Dubuque CSD,2024,878172.0,28913789.0,878172.0,Y,3.0
Dubuque CSD,2025,3041993.0,28523727.0,3041993.0,Y,10.7
Iowa City CSD,2020,12300000.0,,,,
Iowa City CSD,2021,15330000.0,,,,
Iowa City CSD,2022,14800000.0,34679828.0,27807421.0,N,42.7
Iowa City CSD,2023,17500000.0,37159620.0,25513829.0,N,47.1
Iowa City CSD,2024,17500000.0,40487109.0,35236848.0,N,43.2
Iowa City CSD,2025,24000000.0,41857309.0,35446978.0,N,57.3
Johnston CSD,2020,1574250.0,,,,
Johnston CSD,2021,3923616.0,,,,
Johnston CSD,2022,6473110.0,16991836.0,6473110.0,Y,38.1
Johnston CSD,2023,3534875.0,17316535.0,3534875.0,Y,20.4
Johnston CSD,2024,0.0,17657010.0,0.0,N,0.0
Johnston CSD,2025,3011624.0,18568347.0,3011653.0,N,16.2
Linn-Mar CSD,2020,5162468.0,,,,
Linn-Mar CSD,2021,6128170.0,,,,
Linn-Mar CSD,2022,6650000.0,17553243.0,7636052.0,N,37.9
Linn-Mar CSD,2023,5550312.0,18770541.0,5550312.0,Y,29.6
Linn-Mar CSD,2024,8366323.0,20247836.0,8366323.0,Y,41.3
Linn-Mar CSD,2025,9190345.0,21039432.0,14637562.0,N,43.7
Muscatine CSD,2020,0.0,,,,
Muscatine CSD,2021,0.0,,,,
Muscatine CSD,2022,430000.0,11312964.0,608421.0,N,3.8
Muscatine CSD,2023,962771.0,11333014.0,962771.0,Y,8.5
Muscatine CSD,2024,720716.0,11637707.0,720716.0,Y,6.2
Muscatine CSD,2025,1000000.0,12739063.0,2366913.0,N,7.8
Pleasant Valley CSD,2020,1836003.0,,,,
Pleasant Valley CSD,2021,1989159.0,,,,
Pleasant Valley CSD,2022,2429614.0,10604762.0,3162235.0,N,22.9
Pleasant Valley CSD,2023,1113694.0,11197053.0,1113694.0,Y,9.9
Pleasant Valley CSD,2024,2027845.0,12346855.0,2027845.0,Y,16.4
Pleasant Valley CSD,2025,2308312.0,12956730.0,2308312.0,Y,17.8
Waterloo CSD,2020,2668696.0,,,,
Waterloo CSD,2021,2193256.0,,,,
Waterloo CSD,2022,1536350.0,27895924.0,11483138.0,N,5.5
Waterloo CSD,2023,281396.0,28461250.0,281396.0,Y,1.0
Waterloo CSD,2024,0.0,30668370.0,0.0,N,0.0
Waterloo CSD,2025,2000000.0,31952725.0,28324630.0,N,6.3
Waukee CSD,2020,6334192.0,,,,
Waukee CSD,2021,5582095.0,,,,
Waukee CSD,2022,8656967.0,24742820.0,8656967.0,Y,35.0
Waukee CSD,2023,13225645.0,26476048.0,13225645.0,Y,50.0
Waukee CSD,2024,17675297.0,28929176.0,17675297.0,Y,61.1
Waukee CSD,2025,18162975.0,31374422.0,18710475.0,N,57.9
West Des Moines CSD,2020,11241880.0,,,,
West Des Moines CSD,2021,11459911.0,,,,
West Des Moines CSD,2022,11990240.0,22914554.0,11990240.0,Y,52.3
West Des Moines CSD,2023,11512979.0,24519985.0,11512979.0,Y,47.0
West Des Moines CSD,2024,4115320.0,24441958.0,4115320.0,Y,16.8
West Des Moines CSD,2025,777179.0,25690395.0,777180.0,N,3.0
