district,fiscal_year,certified_enrollment
Ankeny CSD,2020,11977.0
Ankeny CSD,2021,12255.8
Ankeny CSD,2022,12147.4
Ankeny CSD,2023,12512.2
Ankeny CSD,2024,12671.4
Ankeny CSD,2025,12637.2
Burlington CSD,2020,4137.4
Burlington CSD,2021,4085.6
Burlington CSD,2022,3913.1
Burlington CSD,2023,3916.8
Burlington CSD,2024,3860.2
Burlington CSD,2025,3796.6
Cedar Rapids CSD,2020,16963.2
Cedar Rapids CSD,2021,16851.5
Cedar Rapids CSD,2022,16236.8
Cedar Rapids CSD,2023,16086.2
Cedar Rapids CSD,2024,15959.3
Cedar Rapids CSD,2025,16139.5
College CSD (Prairie),2020,5139.6
College CSD (Prairie),2021,5194.1
College CSD (Prairie),2022,5089.3
College CSD (Prairie),2023,5130.9
College CSD (Prairie),2024,5147.9
College CSD (Prairie),2025,5075.2
Davenport CSD,2020,15053.7
Davenport CSD,2021,14930.5
Davenport CSD,2022,14470.6
Davenport CSD,2023,14412.6
Davenport CSD,2024,14164.5
Davenport CSD,2025,13786.1
Des Moines Independent CSD,2020,32788.8
Des Moines Independent CSD,2021,32606.7
Des Moines Independent CSD,2022,31621.5
Des Moines Independent CSD,2023,31023.8
Des Moines Independent CSD,2024,30773.9
Des Moines Independent CSD,2025,30801.7
Dubuque CSD,2020,10429.8
Dubuque CSD,2021,10489.0
Dubuque CSD,2022,10309.8
Dubuque CSD,2023,10120.3
Dubuque CSD,2024,10064.1
Dubuque CSD,2025,9996.0
Iowa City CSD,2020,14285.0
Iowa City CSD,2021,14571.6
Iowa City CSD,2022,14283.8
Iowa City CSD,2023,14395.0
Iowa City CSD,2024,14439.8
Iowa City CSD,2025,14378.7
Johnston CSD,2020,7057.6
Johnston CSD,2021,7105.7
Johnston CSD,2022,7004.2
Johnston CSD,2023,6986.9
Johnston CSD,2024,6984.8
Johnston CSD,2025,6838.4
Linn-Mar CSD,2020,7556.7
Linn-Mar CSD,2021,7675.5
Linn-Mar CSD,2022,7597.9
Linn-Mar CSD,2023,7579.3
Linn-Mar CSD,2024,7685.5
Linn-Mar CSD,2025,7566.6
Muscatine CSD,2020,4894.0
Muscatine CSD,2021,4811.8
Muscatine CSD,2022,4690.0
Muscatine CSD,2023,4604.5
Muscatine CSD,2024,4574.8
Muscatine CSD,2025,4422.8
Pleasant Valley CSD,2020,5036.7
Pleasant Valley CSD,2021,5128.4
Pleasant Valley CSD,2022,5244.2
Pleasant Valley CSD,2023,5423.6
Pleasant Valley CSD,2024,5556.8
Pleasant Valley CSD,2025,5537.9
Waterloo CSD,2020,10776.7
Waterloo CSD,2021,10865.5
Waterloo CSD,2022,10626.6
Waterloo CSD,2023,10679.9
Waterloo CSD,2024,10672.3
Waterloo CSD,2025,10731.7
Waukee CSD,2020,11197.6
Waukee CSD,2021,11701.4
Waukee CSD,2022,11994.7
Waukee CSD,2023,12615.8
Waukee CSD,2024,13153.9
Waukee CSD,2025,13674.0
West Des Moines CSD,2020,8940.2
West Des Moines CSD,2021,8989.1
West Des Moines CSD,2022,8820.1
West Des Moines CSD,2023,8774.5
West Des Moines CSD,2024,8678.6
West Des Moines CSD,2025,8614.2
