district,fiscal_year,gen_fund_rate_with_isl,isl_rate,management_rate,voted_ppel_rate,regular_ppel_rate,debt_service_rate,grand_total_rate,net_valuation_with_ge,taxable_valuation
Ankeny CSD,2020,13.28459,1.44183,0.26176,1.34,0.33,2.30688,17.52323,3820279657.0,3787908043.0
Ankeny CSD,2021,13.30946,1.40878,0.24078,1.34,0.33,2.19015,17.41039,4153120503.0,4122847418.0
Ankeny CSD,2022,13.11789,1.36051,0.33887,1.34,0.33,2.18976,17.31652,4426539535.0,4389197037.0
Ankeny CSD,2023,12.36845,1.34057,0.42233,1.34,0.33,2.59,17.05078,4735684852.0,4695121082.0
Ankeny CSD,2024,12.22692,1.35052,0.5091,1.34,0.33,2.59,16.99602,4910617944.0,4870903622.0
Ankeny CSD,2025,11.15512,1.27067,0.63096,1.34,0.33,2.59,16.04608,5547139901.0,5507431838.0
Burlington CSD,2020,12.04614,1.62495,2.03976,0.67,0.33,0.0,15.0859,980505560.0,932794474.0
Burlington CSD,2021,11.31667,1.57722,1.96816,0.67,0.33,0.0,14.28483,1016179474.0,966414314.0
Burlington CSD,2022,11.86138,1.57535,1.64895,0.67,0.33,0.0,14.51033,1030961452.0,983190331.0
Burlington CSD,2023,10.82606,1.54083,1.68921,0.67,0.33,0.0,13.51527,1006386529.0,957702644.0
Burlington CSD,2024,10.29716,1.47953,1.07795,0.67,0.33,0.0,12.37511,1159612337.0,1111208994.0
Burlington CSD,2025,10.00754,1.44098,1.24541,0.67,0.33,0.0,12.25295,1204426311.0,1157058151.0
Cedar Rapids CSD,2020,11.50646,0.10973,1.33988,1.34,0.33,0.55429,15.07063,5660973838.0,5437160426.0
Cedar Rapids CSD,2021,12.09868,0.26684,1.22438,1.34,0.33,0.36923,15.36229,5786602705.0,5551964780.0
Cedar Rapids CSD,2022,12.24456,0.15236,1.44616,1.34,0.33,0.0,15.36072,5860329116.0,5633406360.0
Cedar Rapids CSD,2023,11.48438,0.08043,1.57533,1.34,0.33,0.0,14.72971,5943225623.0,5755227358.0
